UIVersion,SessionCode,Round,PlayerIndex,SurvivalTime,Deaths,MilkCollected
Maximal,2026-04-18_11-18-22,1,0,2.99,1,1
Maximal,G3OK,1,0,Cutesy,16.16,1,1
Maximal,0R7V,1,0,Cutesy,11.66,1,1
Maximal,1YUX,1,0,Cutesy,53.70,1,1
Maximal,44J9,1,0,Cutesy,10.61,0,0
Maximal,44J9,1,1,Jokesy,8.81,1,0
Maximal,IGUF,1,0,Cutesy,8.41,1,1
Maximal,IGUF,2,0,Cutesy,3.80,1,0
Maximal,IGUF,3,0,Cutesy,2.80,1,0
Maximal,IGUF,4,0,Cutesy,2.80,1,0
Maximal,N52G,1,0,Cutesy,47.86,1,0
Maximal,N52G,1,1,Jokesy,47.86,1,0
Maximal,N92W,1,0,Cutesy,2.80,1,0
Maximal,MO29,1,0,Cutesy,47.86,1,0
Maximal,GVII,1,0,Cutesy,3.81,1,0
Maximal,5IX0,1,0,Cutesy,4.74,0,0
Maximal,5IX0,1,1,Jokesy,2.81,1,0
Maximal,5IX0,2,0,Cutesy,47.86,1,0
Maximal,5IX0,2,1,Jokesy,47.86,1,0
Maximal,X550,1,0,Cutesy,5.81,1,0
Maximal,X550,1,1,Jokesy,7.43,0,0
Maximal,X550,2,0,Cutesy,47.86,1,0
Maximal,X550,2,1,Jokesy,47.86,1,0
Maximal,VI7G,1,0,Cutesy,39.85,1,0
Maximal,VI7G,1,1,Jokesy,40.85,1,0
Maximal,DCOG,1,0,Cutesy,53.66,1,1
Maximal,DCOG,1,1,Jokesy,53.55,1,1
Maximal,VP8B,1,0,Cutesy,2.80,1,0
Maximal,F1SJ,1,0,Cutesy,2.88,1,1
Maximal,U1L7,1,0,Cutesy,3.80,1,0
Maximal,AK1Q,1,0,Cutesy,3.80,1,0
Maximal,QC9B,1,0,Cutesy,6.90,1,1
